SectionName,SectionOrder,PhaseID,ExerciseName,PRType,PRValue,PRUnit,PRDate,PreviousBest,PreviousBestDate,SetDetails,Notes,Col_Category,Col_Description,Col_Confidence,Col_Status,Col_Evidence,Col_WeekStart,Col_TotalSets,Col_PullSets,Col_PushSets,Col_LegSets,Col_BicepSets,Col_TricepSets,Col_CoreSets,Col_CarrySets,Col_CardioSets,Col_SessionCount,Col_AvgSetsPerWeek,Col_ProgramDay,Col_WorkoutName,Col_ExType,Col_PrescSets,Col_PrescRepMin,Col_PrescRepMax,Col_WasPerformed,Col_ActualSets,Col_ActualAvgReps,Col_SetCompliance,Col_RepInRange
TrainingAssumptions,2,7,,,,,,,,,Opposite pattern from farmer's walk (right fails first),Grip,Plate pinch grip: left hand tends to slip before right,Medium,Active,"During plate pinch holds at 50 lbs, left hand consistently loses grip first",,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,7,,,,,,,,,Matches left bicep weakness pattern; suggests left arm is generally weaker,Movement Pattern,Single arm overhead cable extension: left arm fatigues faster than right,High,Active,Left side consistently reaches failure 2-4 reps before right on overhead cable extensions,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,7,,,,,,,,,Keeping strict 90-100 degree ROM maintains proper form ,Shoulder,High cable tricep pushdown: shoulders roll forward if ROM exceeds 90-100 degrees,Medium,Active,ROM creeping above 90-100 degrees causes shoulder roll-forward compensation,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,8,,,,,,,,,Effective self-management strategy,Shoulder,Cable fly ROM should be slightly shortened to manage right anterior capsule awareness,Medium,Active,Full cable fly extension triggers right anterior tightness; shortened ROM eliminates it,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,8,,,,,,,,,Sneeze/puke sensation described; resolves with short rest,Movement Pattern,"Nausea occurs during high-intensity compound movements, especially goblet squats and rowing finishers",Medium,Active,Phase 8 Day 3: nausea after goblet squat set 3; diarrhea after rowing finisher,,,,,,,,,,,,,,,,,,,,,,,
TrainingAssumptions,2,8,,,,,,,,,Fine-tuning of pressing grip angle,Shoulder,Radial tilt on floor press reduces right anterior capsule awareness,Medium,Active,Shifting to slight radial tilt during neutral grip floor press felt better on capsule,,,,,,,,,,,,,,,,,,,,,,,
WeeklyVolume,3,1,,,,,,,,,,,,,,,46020,42,7,14,0,6,10,0,5,0,2,21,,,,,,,,,,,
WeeklyVolume,3,1,,,,,,,,,,,,,,,46027,32,8,0,0,10,8,0,6,0,2,16,,,,,,,,,,,
WeeklyVolume,3,2,,,,,,,,,,,,,,,46034,82,24,15,0,16,10,0,17,0,5,16.4,,,,,,,,,,,
WeeklyVolume,3,2,,,,,,,,,,,,,,,46041,85,15,28,0,12,15,1,14,0,5,17,,,,,,,,,,,
WeeklyVolume,3,2,,,,,,,,,,,,,,,46048,49,19,0,0,10,6,2,12,0,3,16.3,,,,,,,,,,,
WeeklyVolume,3,3,,,,,,,,,,,,,,,46055,67,11,16,10,12,11,0,6,1,4,16.8,,,,,,,,,,,
WeeklyVolume,3,3,,,,,,,,,,,,,,,46062,71,11,10,7,12,16,0,14,1,4,17.8,,,,,,,,,,,
WeeklyVolume,3,3,,,,,,,,,,,,,,,46069,89,10,24,13,10,14,2,5,1,5,17.8,,,,,,,,,,,
WeeklyVolume,3,3,,,,,,,,,,,,,,,46076,81,9,19,13,7,16,2,7,5,4,20.2,,,,,,,,,,,
WeeklyVolume,3,3,,,,,,,,,,,,,,,46083,70,12,0,10,10,10,6,15,2,3,23.3,,,,,,,,,,,
WeeklyVolume,3,3,,,,,,,,,,,,,,,46090,67,14,18,0,9,13,0,11,2,3,22.3,,,,,,,,,,,
WeeklyVolume,3,4,,,,,,,,,,,,,,,46097,76,17,10,4,12,14,0,9,7,4,19,,,,,,,,,,,
WeeklyVolume,3,4,,,,,,,,,,,,,,,46104,78,17,10,4,12,15,0,9,5,4,19.5,,,,,,,,,,,
WeeklyVolume,3,4,,,,,,,,,,,,,,,46111,82,18,12,4,13,16,0,9,4,4,20.5,,,,,,,,,,,
WeeklyVolume,3,5,,,,,,,,,,,,,,,46139,108,24,12,14,9,14,3,15,9,5,21.6,,,,,,,,,,,
WeeklyVolume,3,5,,,,,,,,,,,,,,,46132,109,17,12,7,15,21,3,15,10,5,21.8,,,,,,,,,,,
WeeklyVolume,3,5,,,,,,,,,,,,,,,46125,128,27,22,7,14,21,3,18,7,6,21.3,,,,,,,,,,,
WeeklyVolume,3,5,,,,,,,,,,,,,,,46118,106,24,10,14,8,15,6,15,6,5,21.2,,,,,,,,,,,
WeeklyVolume,3,6,,,,,,,,,,,,,,,46146,105,19,22,0,13,17,0,16,9,5,21,,,,,,,,,,,
WeeklyVolume,3,6,,,,,,,,,,,,,,,46153,36,7,0,0,9,6,0,7,7,2,18,,,,,,,,,,,
WeeklyVolume,3,6,,,,,,,,,,,,,,,46160,107,22,14,0,19,12,0,21,13,6,17.8,,,,,,,,,,,
WeeklyVolume,3,6,,,,,,,,,,,,,,,46167,116,22,7,0,21,18,0,21,24,6,19.3,,,,,,,,,,,
WeeklyVolume,3,6,,,,,,,,,,,,,,,46174,78,13,10,0,13,9,0,14,16,4,19.5,,,,,,,,,,,
WeeklyVolume,3,7,,,,,,,,,,,,,,,46181,102,7,11,6,14,21,0,37,6,4,25.5,,,,,,,,,,,
WeeklyVolume,3,7,,,,,,,,,,,,,,,46188,104,7,11,6,15,22,0,37,6,4,26,,,,,,,,,,,
WeeklyVolume,3,7,,,,,,,,,,,,,,,46195,106,7,11,6,15,24,0,37,6,4,26.5,,,,,,,,,,,
WeeklyVolume,3,8,,,,,,,,,,,,,,,46202,132,17,12,6,18,24,2,43,10,5,26.4,,,,,,,,,,,
WeeklyVolume,3,8,,,,,,,,,,,,,,,46209,132,13,29,17,9,21,4,14,25,5,26.4,,,,,,,,,,,
WeeklyVolume,3,8,,,,,,,,,,,,,,,46216,72,9,0,24,6,10,3,10,10,3,24,,,,,,,,,,,
WeeklyVolume,3,8,,,,,,,,,,,,,,,46223,113,16,15,15,9,15,4,15,24,4,28.2,,,,,,,,,,,
WeeklyVolume,3,8,,,,,,,,,,,,,,,46230,113,16,15,15,10,14,4,17,22,4,28.2,,,,,,,,,,,
Compliance,4,1,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,5,,,TRUE,5,,100,
Compliance,4,1,Farmer’s Hold,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,2,,,TRUE,2,,100,
Compliance,4,1,Single Arm Cable Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,15,20,TRUE,3,19.3,100,In Range
Compliance,4,1,Dumbbell: Squeeze Curl - Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,15,20,TRUE,3,20,100,In Range
Compliance,4,1,Cable Push-Downs,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,12,15,TRUE,5,9,166.7,Below
Compliance,4,1,Standing One Arm Extended Cable Curls,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,3,10,12,TRUE,4,14,133.3,Above
Compliance,4,1,Face Pull,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,3,12,15,TRUE,4,15,133.3,In Range
Compliance,4,1,Kneeling Cable Row,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,4,8,10,TRUE,4,10,100,In Range
Compliance,4,1,DB Spider Curl (Hammer),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,12,15,TRUE,3,15,100,In Range
Compliance,4,1,Inverted KB Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,3,6,8,TRUE,3,8,100,In Range
Compliance,4,1,"Cable Triceps Extension - ""Quad""",,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,4,10,12,TRUE,10,7.2,250,Below
Compliance,4,1,Single-Arm Vertical Plate Balance Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,3,6,8,TRUE,3,2,100,Below
Compliance,4,1,Smith Machine Bench Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,4,8,10,TRUE,4,9.2,100,In Range
Compliance,4,1,Seated Single Arm DB Curl - Anchored,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,4,6,8,TRUE,6,5.2,150,Below
Compliance,4,1,Neutral Grip Seated 2 Arm Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,3,8,10,TRUE,3,10,100,In Range
Compliance,4,1,Body Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,4,6,8,TRUE,4,8.2,100,Above
Compliance,4,1,Suitcase Carries,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,4,,,TRUE,4,,100,
Compliance,4,2,Kneeling Cable Row,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,4,10,12,TRUE,12,11.2,100,In Range
Compliance,4,2,Farmer’s Hold,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,,,TRUE,12,,100,
Compliance,4,2,Single Arm Cable Extensions,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,15,20,TRUE,9,11.8,100,Below
Compliance,4,2,Rope Push-Downs,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,12,15,TRUE,12,12.3,100,In Range
Compliance,4,2,DB Spider Curl (Hammer),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (The Fun Day),Working,3,12,15,TRUE,14,13.7,116.7,In Range
Compliance,4,2,Standing One Arm Extended Cable Curls,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,3,12,15,TRUE,7,10.1,116.7,Below
Compliance,4,2,Face Pull,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,3,15,20,TRUE,9,19.4,100,In Range
Compliance,4,2,Suitcase Carries,,,,,,,,,,,,,,,,,,,,,,,,,,3,Carries + Pull (Volume / Stability),Working,4,,,TRUE,13,,108.3,
Compliance,4,2,Seated Single Arm DB Curl - Anchored,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,3,8,12,TRUE,18,6,150,Below
Compliance,4,2,Single-Arm Vertical Plate Balance Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,3,5,8,TRUE,15,4.2,125,Below
Compliance,4,2,DB Neutral Press (slight Rotate To Underhand ),,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,3,8,12,TRUE,16,8,133.3,In Range
Compliance,4,2,Supine Press Machine - Plate Loaded (Planet Fitness),,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,4,8,10,TRUE,19,7.2,118.8,Below
Compliance,4,2,Machine Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,4,6,8,TRUE,9,8.7,112.5,Above
Compliance,4,2,Body Row,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,4,6,10,TRUE,16,7,100,In Range
Compliance,4,2,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,1,Carries + Pull (Strength Bias),Working,5,,,TRUE,20,,100,
Compliance,4,2,"Cable Triceps Extension - ""Quad""",,,,,,,,,,,,,,,,,,,,,,,,,,2,Push + Triceps (Hypertrophy),Working,4,10,15,TRUE,18,14.1,112.5,In Range
Compliance,4,3,Single-Arm Cable Row (Split Stance),,,,,,,,,,,,,,,,,,,,,,,,,,3,Upper Pull (Strength Bias),Working,2,10,10,TRUE,6,9.5,150,Below
Compliance,4,3,Rowing,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (Low Noise),Capacity,1,,,TRUE,1,,100,
Compliance,4,3,Farmer’s Hold,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (Low Noise),Working,3,,,TRUE,5,,83.3,
Compliance,4,3,Incline Dumbbell Curl (Supinated),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (Low Noise),Working,2,12,12,TRUE,6,11.3,150,Below
Compliance,4,3,Rope Push-Downs,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (Low Noise),Working,3,10,12,TRUE,20,10.4,133.3,In Range
Compliance,4,3,DB Spider Curl (Hammer),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity (Low Noise),Working,3,10,12,TRUE,16,9.8,133.3,Below
Compliance,4,3,Seated Single Arm DB Curl - Anchored,,,,,,,,,,,,,,,,,,,,,,,,,,3,Upper Pull (Strength Bias),Working,2,8,10,TRUE,3,10,150,In Range
Compliance,4,3,Chest Supported DB Row (Spider),,,,,,,,,,,,,,,,,,,,,,,,,,3,Upper Pull (Strength Bias),Working,4,6,6,TRUE,18,9.7,90,Above
Compliance,4,3,Single-Arm Neutral Grip Cable Pulldown,,,,,,,,,,,,,,,,,,,,,,,,,,3,Upper Pull (Strength Bias),Working,3,8,8,TRUE,14,9.1,116.7,Above
Compliance,4,3,Dumbbell Lateral Raise,,,,,,,,,,,,,,,,,,,,,,,,,,2,Upper Push (Strength Bias),Working,3,10,10,TRUE,5,15,83.3,Above
Compliance,4,3,Smith Machine Bench Press,,,,,,,,,,,,,,,,,,,,,,,,,,2,Upper Push (Strength Bias),Working,3,6,6,TRUE,19,6.6,126.7,Above
Compliance,4,3,DB Neutral Press (slight Rotate To Underhand ),,,,,,,,,,,,,,,,,,,,,,,,,,2,Upper Push (Strength Bias),Working,3,5,7,TRUE,3,6,100,In Range
Compliance,4,3,Standing Calf Raise,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Carries (Strength),Working,2,10,12,TRUE,9,12,150,In Range
Compliance,4,3,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Carries (Strength),Working,3,,,TRUE,3,,100,
Compliance,4,3,Dumbbell Romanian Deadlift,,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Carries (Strength),Working,3,6,6,TRUE,17,7.5,113.3,Above
Compliance,4,3,Smith Machine Split Squat (rear foot elevated optional),,,,,,,,,,,,,,,,,,,,,,,,,,1,Lower + Carries (Strength),Working,4,5,6,TRUE,12,7.7,75,Above
Compliance,4,3,Single-Arm Overhead Cable Extension,,,,,,,,,,,,,,,,,,,,,,,,,,2,Upper Push (Strength Bias),Working,2,12,15,TRUE,14,8.6,175,Below
Compliance,4,4,Seat Cable Row (V / Narrow Neutral Grip),,,,,,,,,,,,,,,,,,,,,,,,,,3,Pull + Stability,Working,3,10,12,TRUE,9,10.3,100,In Range
Compliance,4,4,Rear Delt Cable Fly,,,,,,,,,,,,,,,,,,,,,,,,,,3,Pull + Stability,Working,3,12,15,TRUE,9,14.9,100,In Range
Compliance,4,4,Suitcase Carries,,,,,,,,,,,,,,,,,,,,,,,,,,3,Pull + Stability,Working,2,,,TRUE,8,,133.3,
Compliance,4,4,Incline Dumbbell Curl (Supinated),,,,,,,,,,,,,,,,,,,,,,,,,,3,Pull + Stability,Working,2,10,12,TRUE,6,8.7,100,Below
Compliance,4,4,Incline Dumbbell Curl (Supinated),,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,4,8,12,TRUE,12,8.6,100,In Range
Compliance,4,4,Farmer's Walk,,,,,,,,,,,,,,,,,,,,,,,,,,4,Arms + Capacity,Working,3,,,TRUE,10,,111.1,
